# id	name	slot  (from equipment-models.json, cache revision 2026-08-04)
4943	Karil's leathertop 25	torso
4944	Karil's leathertop 0	torso
4946	Karil's leatherskirt 100	legs
4947	Karil's leatherskirt 75	legs
4948	Karil's leatherskirt 50	legs
4949	Karil's leatherskirt 25	legs
4950	Karil's leatherskirt 0	legs
4952	Torag's helm 100	head
4953	Torag's helm 75	head
4954	Torag's helm 50	head
4955	Torag's helm 25	head
4956	Torag's helm 0	head
4958	Torag's hammers 100	weapon
4959	Torag's hammers 75	weapon
4960	Torag's hammers 50	weapon
4961	Torag's hammers 25	weapon
4962	Torag's hammers 0	weapon
4964	Torag's platebody 100	torso
4965	Torag's platebody 75	torso
4966	Torag's platebody 50	torso
4967	Torag's platebody 25	torso
4968	Torag's platebody 0	torso
4970	Torag's platelegs 100	legs
4971	Torag's platelegs 75	legs
4972	Torag's platelegs 50	legs
4973	Torag's platelegs 25	legs
4974	Torag's platelegs 0	legs
4976	Verac's helm 100	head
4977	Verac's helm 75	head
4978	Verac's helm 50	head
4979	Verac's helm 25	head
4980	Verac's helm 0	head
4982	Verac's flail 100	weapon
4983	Verac's flail 75	weapon
4984	Verac's flail 50	weapon
4985	Verac's flail 25	weapon
4986	Verac's flail 0	weapon
4988	Verac's brassard 100	torso
4989	Verac's brassard 75	torso
4990	Verac's brassard 50	torso
4991	Verac's brassard 25	torso
4992	Verac's brassard 0	torso
4994	Verac's plateskirt 100	legs
4995	Verac's plateskirt 75	legs
4996	Verac's plateskirt 50	legs
4997	Verac's plateskirt 25	legs
4998	Verac's plateskirt 0	legs
5013	Mining helmet	head
5014	Mining helmet	head
5016	Bone spear	weapon
5018	Bone club	weapon
5024	Woven top	torso
5026	Woven top	torso
5028	Woven top	torso
5030	Shirt	torso
5032	Shirt	torso
5034	Shirt	torso
5036	Trousers	legs
5038	Trousers	legs
5040	Trousers	legs
5042	Shorts	legs
5044	Shorts	legs
5046	Shorts	legs
5048	Skirt	legs
5050	Skirt	legs
5052	Skirt	legs
5060	Dwarven battleaxe	weapon
5061	Dwarven battleaxe	weapon
5081	null	weapon
5083	null	weapon
5325	Gardening trowel	?
5329	Secateurs	weapon
5331	Watering can	?
5333	Watering can(1)	?
5334	Watering can(2)	?
5335	Watering can(3)	?
5336	Watering can(4)	?
5337	Watering can(5)	?
5338	Watering can(6)	?
5339	Watering can(7)	?
5340	Watering can(8)	?
5341	Rake	?
5343	Seed dibber	?
5345	Gardening boots	boots
5350	Empty plant pot	?
5521	Binding necklace	amulet
5525	Tiara	head
5527	Air tiara	head
5529	Mind tiara	head
5531	Water tiara	head
5533	Body tiara	head
5535	Earth tiara	head
5537	Fire tiara	head
5539	Cosmic tiara	head
5541	Nature tiara	head
5543	Chaos tiara	head
5545	Law tiara	head
5547	Death tiara	head
5549	Blood tiara	head
5553	Rogue top	torso
5554	Rogue mask	head
5555	Rogue trousers	legs
5556	Rogue gloves	hands
5557	Rogue boots	boots
5560	Stethoscope	shield
5561	Mystic jewel	?
5574	Initiate sallet	head
5575	Initiate hauberk	torso
5576	Initiate cuisse	legs
5603	Shears	?
5607	Grain	cape
5608	Fox	weapon
5609	Chicken	shield
5614	Magic carpet	weapon
5628	Bronze dart(p+)	weapon
5629	Iron dart(p+)	weapon
5630	Steel dart(p+)	weapon
5631	Black dart(p+)	weapon
5632	Mithril dart(p+)	weapon
5633	Adamant dart(p+)	weapon
5634	Rune dart(p+)	weapon
5635	Bronze dart(p++)	weapon
5636	Iron dart(p++)	weapon
5637	Steel dart(p++)	weapon
5638	Black dart(p++)	weapon
5639	Mithril dart(p++)	weapon
5640	Adamant dart(p++)	weapon
5641	Rune dart(p++)	weapon
5654	Bronze knife(p+)	weapon
5655	Iron knife(p+)	weapon
5656	Steel knife(p+)	weapon
5657	Mithril knife(p+)	weapon
5658	Black knife(p+)	weapon
5659	Adamant knife(p+)	weapon
5660	Rune knife(p+)	weapon
5661	Bronze knife(p++)	weapon
5662	Iron knife(p++)	weapon
5663	Steel knife(p++)	weapon
5664	Mithril knife(p++)	weapon
5665	Black knife(p++)	weapon
5666	Adamant knife(p++)	weapon
5667	Rune knife(p++)	weapon
5668	Iron dagger(p+)	weapon
5670	Bronze dagger(p+)	weapon
5672	Steel dagger(p+)	weapon
5674	Mithril dagger(p+)	weapon
5676	Adamant dagger(p+)	weapon
5678	Rune dagger(p+)	weapon
5680	Dragon dagger(p+)	weapon
5682	Black dagger(p+)	weapon
5684	Poison dagger(p+)	weapon
5686	Iron dagger(p++)	weapon
5688	Bronze dagger(p++)	weapon
5690	Steel dagger(p++)	weapon
5692	Mithril dagger(p++)	weapon
5694	Adamant dagger(p++)	weapon
5696	Rune dagger(p++)	weapon
5698	Dragon dagger(p++)	weapon
5700	Black dagger(p++)	weapon
5702	Poison dagger(p++)	weapon
5704	Bronze spear(p+)	weapon
5706	Iron spear(p+)	weapon
5708	Steel spear(p+)	weapon
5710	Mithril spear(p+)	weapon
5712	Adamant spear(p+)	weapon
5714	Rune spear(p+)	weapon
5716	Dragon spear(p+)	weapon
5718	Bronze spear(p++)	weapon
5720	Iron spear(p++)	weapon
5722	Steel spear(p++)	weapon
5724	Mithril spear(p++)	weapon
5726	Adamant spear(p++)	weapon
5728	Rune spear(p++)	weapon
5730	Dragon spear(p++)	weapon
5732	Stool	shield
5734	Black spear(p+)	weapon
5736	Black spear(p++)	weapon
5769	Calquat keg	?
5771	Dwarven stout(1)	?
5982	Watermelon	?
6036	Plant cure	?
6040	Amulet of nature	amulet
6041	Pre-nature amulet	amulet
6065	Mourner top	torso
6067	Mourner trousers	legs
6068	Mourner gloves	hands
6069	Mourner boots	boots
6070	Mourner cloak	cape
6082	Fixed device	weapon
6106	Ghostly boots	boots
6107	Ghostly robe	torso
6108	Ghostly robe	legs
6109	Ghostly hood	head
6110	Ghostly gloves	hands
6111	Ghostly cloak	cape
6122	A chair	shield
6123	Beer glass	weapon
6125	Enchanted lyre(2)	weapon
6126	Enchanted lyre(3)	weapon
6127	Enchanted lyre(4)	weapon
6128	Rock-shell helm	head
6129	Rock-shell plate	torso
6130	Rock-shell legs	legs
6131	Spined helm	head
6133	Spined body	torso
6135	Spined chaps	legs
6137	Skeletal helm	head
6139	Skeletal top	torso
6141	Skeletal bottoms	legs
6143	Spined boots	boots
6145	Rock-shell boots	boots
6147	Skeletal boots	boots
6149	Spined gloves	hands
6151	Rock-shell gloves	hands
6153	Skeletal gloves	hands
6180	Lederhosen top	torso
6181	Lederhosen shorts	legs
6182	Lederhosen hat	head
6184	Royal frog tunic	torso
6185	Royal frog leggings	legs
6186	Royal frog blouse	torso
6187	Royal frog skirt	legs
6188	Frog mask	head
6209	Small fishing net	?
6215	Broodoo shield (10)	shield
6217	Broodoo shield (9)	shield
6219	Broodoo shield (8)	shield
6221	Broodoo shield (7)	shield
6223	Broodoo shield (6)	shield
6225	Broodoo shield (5)	shield
6227	Broodoo shield (4)	shield
6229	Broodoo shield (3)	shield
6231	Broodoo shield (2)	shield
6233	Broodoo shield (1)	shield
6235	Broodoo shield	shield
6237	Broodoo shield (10)	shield
6239	Broodoo shield (9)	shield
6241	Broodoo shield (8)	shield
6243	Broodoo shield (7)	shield
6245	Broodoo shield (6)	shield
6247	Broodoo shield (5)	shield
6249	Broodoo shield (4)	shield
6251	Broodoo shield (3)	shield
6253	Broodoo shield (2)	shield
6255	Broodoo shield (1)	shield
6257	Broodoo shield	shield
6259	Broodoo shield (10)	shield
6261	Broodoo shield (9)	shield
6263	Broodoo shield (8)	shield
6265	Broodoo shield (7)	shield
6267	Broodoo shield (6)	shield
6269	Broodoo shield (5)	shield
6271	Broodoo shield (4)	shield
6273	Broodoo shield (3)	shield
6275	Broodoo shield (2)	shield
6277	Broodoo shield (1)	shield
6279	Broodoo shield	shield
6281	Thatch spar light	shield
6283	Thatch spar med	shield
6285	Thatch spar dense	shield
6313	Opal machete	weapon
6315	Jade machete	weapon
6317	Red topaz machete	weapon
6322	Snakeskin body	torso
6324	Snakeskin chaps	legs
6326	Snakeskin bandana	head
6328	Snakeskin boots	boots
6330	Snakeskin vambraces	hands
6335	Tribal mask	head
6337	Tribal mask	head
6339	Tribal mask	head
6341	Tribal top	torso
6343	Villager robe	legs
6345	Villager hat	head
6347	Villager armband	hands
6349	Villager sandals	boots
6351	Tribal top	torso
6353	Villager robe	legs
6355	Villager hat	head
6357	Villager sandals	boots
6359	Villager armband	hands
6361	Tribal top	torso
6363	Villager robe	legs
6365	Villager hat	head
6367	Villager sandals	boots
6369	Villager armband	hands
6371	Tribal top	torso
6373	Villager robe	legs
6375	Villager hat	head
6377	Villager sandals	boots
6379	Villager armband	hands
6382	Fez	head
6384	Desert top	torso
6386	Desert robes	legs
6388	Desert top	torso
6390	Desert legs	legs
6392	Menaphite purple hat	head
6394	Menaphite purple top	torso
6396	Menaphite purple robe	legs
6398	Menaphite purple kilt	legs
6400	Menaphite red hat	head
6402	Menaphite red top	torso
6404	Menaphite red robe	legs
6406	Menaphite red kilt	legs
6408	Oak blackjack(o)	weapon
6410	Oak blackjack(d)	weapon
6412	Willow blackjack(o)	weapon
6414	Willow blackjack(d)	weapon
6416	Maple blackjack	weapon
6418	Maple blackjack(o)	weapon
6420	Maple blackjack(d)	weapon
6448	Spadeful of coke	?
6449	null	weapon
6451	null	weapon
6468	Plant cure	?
6470	Compost potion(4)	?
6472	Compost potion(3)	?
6474	Compost potion(2)	?
6476	Compost potion(1)	?
6522	Toktz-xil-ul	weapon
6523	Toktz-xil-ak	weapon
6524	Toktz-ket-xil	shield
6525	Toktz-xil-ek	weapon
6526	Toktz-mej-tal	weapon
6527	Tzhaar-ket-em	weapon
6528	Tzhaar-ket-om	weapon
6541	Mouse toy	weapon
6544	Catspeak amulet(e)	amulet
6547	Doctor's hat	head
6548	Nurse hat	head
6562	Mud battlestaff	weapon
6563	Mystic mud staff	weapon
6565	null	weapon
6568	Obsidian cape	cape
6570	Fire cape	cape
6573	Onyx	?
6577	Onyx necklace	amulet
6581	Onyx amulet	amulet
6585	Amulet of fury	amulet
6587	White claws	weapon
6589	White battleaxe	weapon
6591	White dagger	weapon
6593	White dagger(p)	weapon
6595	White dagger(p+)	weapon
6597	White dagger(p++)	weapon
6599	White halberd	weapon
6601	White mace	weapon
6603	White magic staff	weapon
6605	White sword	weapon
6607	White longsword	weapon
6609	White 2h sword	weapon
6611	White scimitar	weapon
6613	White warhammer	weapon
6615	White chainbody	torso
6617	White platebody	torso
6619	White boots	boots
6621	White med helm	head
6623	White full helm	head
6625	White platelegs	legs
6627	White plateskirt	legs
6629	White gloves	hands
6631	White sq shield	shield
6633	White kiteshield	shield
6635	Commorb	?
6654	Camo top	torso
6655	Camo bottoms	legs
6656	Camo helmet	head
6657	Camo top	torso
6658	Camo bottoms	legs
6659	Camo helmet	head
6664	Fishing explosive	?
6665	Mudskipper hat	head
6666	Flippers	boots
6670	Fishbowl	weapon
6671	Fishbowl	weapon
6672	Fishbowl	weapon
6673	Fishbowl and net	?
6707	Camulet	amulet
6713	Wrench	?
6714	Holy wrench	?
6720	Slayer gloves	hands
6721	Rusty scimitar	?
6722	Zombie head	?
6724	Seercull	weapon
6739	Dragon axe	weapon
6745	Silverlight	weapon
6746	Darklight	weapon
6748	Demonic sigil	?
6750	Black desert shirt	torso
6752	Black desert robe	legs
6760	Guthix mjolnir	weapon
6762	Saradomin mjolnir	weapon
6764	Zamorak mjolnir	weapon
6772	Smouldering pot	?
6773	Rat pole	weapon
6774	Rat pole	weapon
6775	Rat pole	weapon
6776	Rat pole	weapon
6777	Rat pole	weapon
6778	Rat pole	weapon
6779	Rat pole	weapon
6786	Robe of elidinis	torso
6787	Robe of elidinis	legs
6788	Torn robe	?
6789	Torn robe	?
6790	Shoes	boots
6809	Granite legs	legs
6817	Slender blade	weapon
6818	Bow-sword	weapon
6856	Bobble hat	head
6857	Bobble scarf	amulet
6858	Jester hat	head
6859	Jester scarf	amulet
6860	Tri-jester hat	head
6861	Tri-jester scarf	amulet
6862	Woolly hat	head
6863	Woolly scarf	amulet
6864	Marionette handle	weapon
6885	Progress hat	head
6886	Progress hat	head
6887	Progress hat	head
6889	Mage's book	shield
6908	Beginner wand	weapon
6910	Apprentice wand	weapon
6912	Teacher wand	weapon
6914	Master wand	weapon
6916	Infinity top	torso
6918	Infinity hat	head
6920	Infinity boots	boots
6922	Infinity gloves	hands
6924	Infinity bottoms	legs
6959	Pink cape	cape
7003	Camel mask	head
7004	null	weapon
7051	Unlit bug lantern	shield
7053	Lit bug lantern	shield
7110	Stripy pirate shirt	torso
7112	Pirate bandana	head
7114	Pirate boots	boots
7116	Pirate leggings	legs
7118	Canister	?
7119	Cannon ball	?
7120	Ramrod	?
7121	Repair plank	?
7122	Stripy pirate shirt	torso
7124	Pirate bandana	head
7126	Pirate leggings	legs
7128	Stripy pirate shirt	torso
7130	Pirate bandana	head
7132	Pirate leggings	legs
7134	Stripy pirate shirt	torso
7136	Pirate bandana	head
7138	Pirate leggings	legs
7140	Lucky cutlass	weapon
7141	Harry's cutlass	weapon
7142	Rapier	weapon
7158	Dragon 2h sword	weapon
7159	Insulated boots	boots
7170	Mud pie	weapon
7319	Red boater	head
7321	Orange boater	head
7323	Green boater	head
7325	Blue boater	head
7327	Black boater	head
7332	Black shield (h1)	shield
7334	Adamant shield (h1)	shield
7336	Rune shield (h1)	shield
7338	Black shield (h2)	shield
7340	Adamant shield (h2)	shield
7342	Rune shield (h2)	shield
7344	Black shield (h3)	shield
7346	Adamant shield (h3)	shield
7348	Rune shield (h3)	shield
7350	Black shield (h4)	shield
7352	Adamant shield (h4)	shield
7354	Rune shield (h4)	shield
7356	Black shield (h5)	shield
7358	Adamant shield (h5)	shield
7360	Rune shield (h5)	shield
7362	Studded body (g)	torso
7364	Studded body (t)	torso
7366	Studded chaps (g)	legs
7368	Studded chaps (t)	legs
7370	Green d'hide body (g)	torso
7372	Green d'hide body (t)	torso
7374	Blue d'hide body (g)	torso
7376	Blue d'hide body (t)	torso
7378	Green d'hide chaps (g)	legs
7380	Green d'hide chaps (t)	legs
7382	Blue d'hide chaps (g)	legs
7384	Blue d'hide chaps (t)	legs
7386	Blue skirt (g)	legs
7388	Blue skirt (t)	legs
7390	Blue wizard robe (g)	torso
7392	Blue wizard robe (t)	torso
7394	Blue wizard hat (g)	head
7396	Blue wizard hat (t)	head
7398	Enchanted robe	legs
7399	Enchanted top	torso
7400	Enchanted hat	head
7404	Red logs	?
7405	Green logs	?
7406	Blue logs	?
7409	Magic secateurs	weapon
7410	Queen's secateurs	weapon
7412	null	weapon
7414	Paddle	weapon
7421	Fungicide spray 10	weapon
7422	Fungicide spray 9	weapon
7423	Fungicide spray 8	weapon
7424	Fungicide spray 7	weapon
7425	Fungicide spray 6	weapon
7426	Fungicide spray 5	weapon
7427	Fungicide spray 4	weapon
7428	Fungicide spray 3	weapon
7429	Fungicide spray 2	weapon
7430	Fungicide spray 1	weapon
7431	Fungicide spray 0	weapon
7433	Wooden spoon	weapon
7435	Egg whisk	weapon
7437	Spork	weapon
7439	Spatula	weapon
7441	Frying pan	weapon
7443	Skewer	weapon
7445	Rolling pin	weapon
7447	Kitchen knife	weapon
7449	Meat tenderiser	weapon
7451	Cleaver	weapon
7453	Hardleather gloves	hands
7454	Bronze gloves	hands
7455	Iron gloves	hands
7456	Steel gloves	hands
7457	Black gloves	hands
7458	Mithril gloves	hands
7459	Adamant gloves	hands
7460	Rune gloves	hands
7461	Dragon gloves	hands
7462	Barrows gloves	hands
7475	Brulee	?
7509	Dwarven rock cake	?
7534	Fishbowl helmet	head
7535	Diving apparatus	cape
7537	Crab claw	hands
7539	Crab helmet	head
7572	Red banana	shield
7592	Zombie shirt	torso
7593	Zombie trousers	legs
7594	Zombie mask	head
7595	Zombie gloves	hands
7596	Zombie boots	boots
7637	Silvthrill rod	weapon
7639	Rod of ivandis (10)	weapon
7640	Rod of ivandis (9)	weapon
7641	Rod of ivandis (8)	weapon
7642	Rod of ivandis (7)	weapon
7643	Rod of ivandis (6)	weapon
7644	Rod of ivandis (5)	weapon
7645	Rod of ivandis (4)	weapon
7646	Rod of ivandis (3)	weapon
7647	Rod of ivandis (2)	weapon
7648	Rod of ivandis (1)	weapon
7668	Gadderhammer	weapon
7671	Boxing gloves	weapon
7673	Boxing gloves	weapon
7675	Wooden sword	weapon
7676	Wooden shield	shield
7679	Pugel	weapon
7682	Hoop	weapon
7684	Dart	weapon
7686	Bow and arrow	weapon
7688	Kettle	?
7690	Full kettle	?
7691	Hot kettle	?
7728	Empty cup	?
7730	Cup of tea	?
7731	Cup of tea	?
7732	Porcelain cup	?
7733	Cup of tea	?
7734	Cup of tea	?
7735	Porcelain cup	?
7736	Cup of tea	?
7737	Cup of tea	?
7740	Beer	?
7742	Beer glass	?
7744	Asgarnian ale	?
7746	Greenman's ale	?
7748	Dragon bitter	?
7750	Moonlight mead	?
7752	Cider	?
7754	Chef's delight	?
7756	Paintbrush	weapon
7758	null	weapon
7773	Branch	weapon
7777	Long vine	?
7778	Short vine	?
7803	Yin yang amulet	amulet
7804	Ancient mjolnir	weapon
7806	Anger sword	weapon
7807	Anger battleaxe	weapon
7808	Anger mace	weapon
7809	Anger spear	weapon
7917	Ram skull helm	head
7918	Bonesack	cape
8464	Rune heraldic helm	head
8466	Rune heraldic helm	head
8468	Rune heraldic helm	head
8470	Rune heraldic helm	head
8472	Rune heraldic helm	head
8474	Rune heraldic helm	head
8476	Rune heraldic helm	head
8478	Rune heraldic helm	head
8480	Rune heraldic helm	head
8482	Rune heraldic helm	head
8484	Rune heraldic helm	head
8486	Rune heraldic helm	head
8488	Rune heraldic helm	head
8490	Rune heraldic helm	head
8492	Rune heraldic helm	head
8494	Rune heraldic helm	head
8650	Banner	weapon
8652	Banner	weapon
8654	Banner	weapon
8656	Banner	weapon
8658	Banner	weapon
8660	Banner	weapon
8662	Banner	weapon
8664	Banner	weapon
8666	Banner	weapon
8668	Banner	weapon
8670	Banner	weapon
8672	Banner	weapon
8674	Banner	weapon
8676	Banner	weapon
8678	Banner	weapon
8680	Banner	weapon
8682	Steel heraldic helm	head
8684	Steel heraldic helm	head
8686	Steel heraldic helm	head
8688	Steel heraldic helm	head
8690	Steel heraldic helm	head
8692	Steel heraldic helm	head
8694	Steel heraldic helm	head
8696	Steel heraldic helm	head
8698	Steel heraldic helm	head
8700	Steel heraldic helm	head
8702	Steel heraldic helm	head
8704	Steel heraldic helm	head
8706	Steel heraldic helm	head
8708	Steel heraldic helm	head
8710	Steel heraldic helm	head
8712	Steel heraldic helm	head
8714	Rune kiteshield	shield
8716	Rune kiteshield	shield
8718	Rune kiteshield	shield
8720	Rune kiteshield	shield
8722	Rune kiteshield	shield
8724	Rune kiteshield	shield
8726	Rune kiteshield	shield
8728	Rune kiteshield	shield
8730	Rune kiteshield	shield
8732	Rune kiteshield	shield
8734	Rune kiteshield	shield
8736	Rune kiteshield	shield
8738	Rune kiteshield	shield
8740	Rune kiteshield	shield
8742	Rune kiteshield	shield
8744	Rune kiteshield	shield
8746	Steel kiteshield	shield
8748	Steel kiteshield	shield
8750	Steel kiteshield	shield
8752	Steel kiteshield	shield
8754	Steel kiteshield	shield
8756	Steel kiteshield	shield
8758	Steel kiteshield	shield
8760	Steel kiteshield	shield
8762	Steel kiteshield	shield
8764	Steel kiteshield	shield
8766	Steel kiteshield	shield
8768	Steel kiteshield	shield
8770	Steel kiteshield	shield
8772	Steel kiteshield	shield
8774	Steel kiteshield	shield
8776	Steel kiteshield	shield
8794	Saw	weapon
8798	null	weapon
8799	null	weapon
8800	null	weapon
8801	null	weapon
8802	null	weapon
8803	null	weapon
8804	null	weapon
8805	null	weapon
8806	null	weapon
8807	null	weapon
8808	null	weapon
8809	null	weapon
8810	null	weapon
8811	null	weapon
8812	null	weapon
8813	null	weapon
8814	null	weapon
8815	null	weapon
8816	null	weapon
8817	null	weapon
8818	null	weapon
8819	null	weapon
8820	null	weapon
8821	null	weapon
8822	null	weapon
8823	null	weapon
8824	null	weapon
8825	null	weapon
8826	null	weapon
8827	null	weapon
8829	null	weapon
8830	null	weapon
8831	null	weapon
8832	null	weapon
8833	null	weapon
8834	null	weapon
8835	null	weapon
8839	Void knight top	torso
8840	Void knight robe	legs
8841	Void knight mace	weapon
8842	Void knight gloves	hands
8844	Bronze defender	shield
8845	Iron defender	shield
8846	Steel defender	shield
8847	Black defender	shield
8848	Mithril defender	shield
8849	Adamant defender	shield
8850	Rune defender	shield
8856	Defensive shield	shield
8857	Shot	?
8858	18lb shot	?
8859	22lb shot	?
8860	One barrel	head
8861	Two barrels	head
8862	Three barrels	head
8863	Four barrels	head
8864	Five barrels	head
8871	Crate with zanik	weapon
8872	Bone dagger	weapon
8874	Bone dagger (p)	weapon
8876	Bone dagger (p+)	weapon
8878	Bone dagger (p++)	weapon
8880	Dorgeshuun crossbow	weapon
8901	Black mask (10)	head
8903	Black mask (9)	head
8905	Black mask (8)	head
8907	Black mask (7)	head
8909	Black mask (6)	head
8911	Black mask (5)	head
8913	Black mask (4)	head
8915	Black mask (3)	head
8917	Black mask (2)	head
8919	Black mask (1)	head
8921	Black mask	head
8923	Witchwood icon	amulet
8924	Bandana eyepatch (white)	head
8925	Bandana eyepatch (red)	head
8926	Bandana eyepatch (blue)	head
8927	Bandana eyepatch (brown)	head
8928	Hat eyepatch	head
8929	Crabclaw hook	hands
8940	Rum	?
8941	Rum	?
8949	Pirate bandana	head
8950	Pirate hat	head
8952	Blue naval shirt	torso
8953	Green naval shirt	torso
8954	Red naval shirt	torso
8955	Brown naval shirt	torso
8956	Black naval shirt	torso
8957	Purple naval shirt	torso
8958	Grey naval shirt	torso
8959	Blue tricorn hat	head
8960	Green tricorn hat	head
8961	Red tricorn hat	head
8962	Brown tricorn hat	head
8963	Black tricorn hat	head
8964	Purple tricorn hat	head
8965	Grey tricorn hat	head
8966	Cutthroat flag	weapon
8967	Gilded smile flag	weapon
8968	Bronze fist flag	weapon
8969	Lucky shot flag	weapon
8970	Treasure flag	weapon
8971	Phasmatys flag	weapon
8986	Bucket	?
8987	Torch	weapon
8991	Blue navy slacks	legs
8992	Green navy slacks	legs
8993	Red navy slacks	legs
8994	Brown navy slacks	legs
8995	Black navy slacks	legs
8996	Purple navy slacks	legs
8997	Grey navy slacks	legs
9005	Fancy boots	boots
9006	Fighting boots	boots
9013	Skull sceptre	weapon
9020	Queen's secateurs	weapon
9044	Pharaoh's sceptre	weapon
9045	Pharaoh's sceptre	weapon
9046	Pharaoh's sceptre	weapon
9047	Pharaoh's sceptre	weapon
9048	Pharaoh's sceptre	weapon
9049	Pharaoh's sceptre	weapon
9050	Pharaoh's sceptre	weapon
9051	Pharaoh's sceptre	weapon
9060	null	?
9061	null	?
9062	null	?
9063	null	?
9065	Emerald lantern	shield
9068	Moonclan helm	head
9069	Moonclan hat	head
9070	Moonclan armour	torso
9071	Moonclan skirt	legs
9072	Moonclan gloves	hands
9073	Moonclan boots	boots
9074	Moonclan cape	cape
9083	Seal of passage	amulet
9084	Lunar staff	weapon
9085	Empty vial	?
9086	Vial of water	?
9087	Waking sleep vial	?
9088	Guam vial	?
9089	Marr vial	?
9090	Guam-marr vial	?
9091	Lunar staff - pt1	weapon
9092	Lunar staff - pt2	weapon
9093	Lunar staff - pt3	weapon
9096	Lunar helm	head
9097	Lunar torso	torso
9098	Lunar legs	legs
9099	Lunar gloves	hands
9100	Lunar boots	boots
9101	Lunar cape	cape
9102	Lunar amulet	amulet
9103	A special tiara	?
9106	Astral tiara	head
9138	null	?
9174	Bronze crossbow	weapon
9176	Blurite crossbow	weapon
9177	Iron crossbow	weapon
9179	Steel crossbow	weapon
9181	Mithril crossbow	weapon
9183	Adamant crossbow	weapon
9185	Rune crossbow	weapon
9420	Bronze limbs	shield
9422	Blurite limbs	shield
9423	Iron limbs	shield
9425	Steel limbs	shield
9427	Mithril limbs	shield
9429	Adamantite limbs	shield
9431	Runite limbs	shield
9440	Wooden stock	weapon
9442	Oak stock	weapon
9444	Willow stock	weapon
9446	Teak stock	weapon
9448	Maple stock	weapon
9450	Mahogany stock	weapon
9452	Yew stock	weapon
9454	Bronze crossbow (u)	?
9456	Blurite crossbow (u)	?
9457	Iron crossbow (u)	?
9459	Steel crossbow (u)	?
9461	Mithril crossbow (u)	?
9463	Adamant crossbow (u)	?
9465	Runite crossbow (u)	?
9470	Gnome scarf	amulet
9472	Gnome goggles	head
9590	Dossier	?
9629	Tyras helm	head
9631	null	?
9634	Vyrewatch top	torso
9636	Vyrewatch legs	legs
9638	Vyrewatch shoes	boots
9640	Citizen top	torso
9642	Citizen trousers	legs
9644	Citizen shoes	boots
9646	Castle sketch 1	?
9647	Castle sketch 2	?
9648	Castle sketch 3	?
9660	Bucket	?
9665	Torch	weapon
9672	Proselyte sallet	head
9674	Proselyte hauberk	torso
9676	Proselyte cuisse	legs
9678	Proselyte tasset	legs
9681	Commorb v2	?
9702	Stick	weapon
9703	Training sword	weapon
9704	Training shield	shield
9705	Training bow	weapon
9729	Elemental helmet	head
9731	Mind shield	shield
9733	Mind helmet	head
9747	Attack cape	cape
9748	Attack cape(t)	cape
9749	Attack hood	head
9750	Strength cape	cape
9751	Strength cape(t)	cape
9752	Strength hood	head
9753	Defence cape	cape
9754	Defence cape(t)	cape
9755	Defence hood	head
9756	Ranging cape	cape
9757	Ranging cape(t)	cape
9758	Ranging hood	head
9759	Prayer cape	cape
9760	Prayer cape(t)	cape
9761	Prayer hood	head
9762	Magic cape	cape
9763	Magic cape(t)	cape
9764	Magic hood	head
9765	Runecraft cape	cape
9766	Runecraft cape(t)	cape
9767	Runecraft hood	head
9768	Hitpoints cape	cape
9769	Hitpoints cape(t)	cape
9770	Hitpoints hood	head
9771	Agility cape	cape
9772	Agility cape(t)	cape
9773	Agility hood	head
9774	Herblore cape	cape
9775	Herblore cape(t)	cape
9776	Herblore hood	head
9777	Thieving cape	cape
9778	Thieving cape(t)	cape
9779	Thieving hood	head
9780	Crafting cape	cape
9781	Crafting cape(t)	cape
9782	Crafting hood	head
9783	Fletching cape	cape
9784	Fletching cape(t)	cape
9785	Fletching hood	head
9786	Slayer cape	cape
9787	Slayer cape(t)	cape
9788	Slayer hood	head
9789	Construct. cape	cape
9790	Construct. cape(t)	cape
9791	Construct. hood	head
9792	Mining cape	cape
9793	Mining cape(t)	cape
9794	Mining hood	head
9795	Smithing cape	cape
9796	Smithing cape(t)	cape
9797	Smithing hood	head
9798	Fishing cape	cape
9799	Fishing cape(t)	cape
9800	Fishing hood	head
9801	Cooking cape	cape
9802	Cooking cape(t)	cape
9803	Cooking hood	head
9804	Firemaking cape	cape
9805	Firemaking cape(t)	cape
9806	Firemaking hood	head
9807	Woodcutting cape	cape
9808	Woodcut. cape(t)	cape
9809	Woodcutting hood	head
9810	Farming cape	cape
9811	Farming cape(t)	cape
9812	Farming hood	head
9813	Quest point cape	cape
9814	Quest point hood	head
9893	null	?
9894	null	?
9895	null	?
9896	null	?
9897	null	?
9898	null	shield
9899	null	weapon
9905	null	weapon
9906	Ghost buster 500	weapon
9907	Ghost buster 500	weapon
9908	Ghost buster 500	weapon
9909	Ghost buster 500	weapon
9910	Ghost buster 500	weapon
9911	Ghost buster 500	weapon
9912	Ghost buster 500	weapon
9913	White destabiliser	shield
9914	Red destabiliser	shield
9915	Blue destabiliser	shield
9916	Green destabiliser	shield
9917	Yellow destabiliser	shield
9918	Black destabiliser	shield
9920	Jack lantern mask	head
9921	Skeleton boots	boots
9922	Skeleton gloves	hands
9923	Skeleton leggings	legs
9924	Skeleton shirt	torso
9925	Skeleton mask	head
9926	null	shield
9927	null	shield
9928	null	shield
9929	null	shield
9930	null	shield
9931	null	shield
9943	Sandbag	weapon
9944	Bomber jacket	torso
